State,County,FIPS,Uninsured,Health care costs,Could not see doctor due to cost
NC,Alamance County,37001,0.206,8640.0,0.167
NC,Alamance County,37001,0.203,9050.0,0.167
NC,Alexander County,37003,0.195,9316.0,0.205
NC,Alexander County,37003,0.194,9242.0,0.205
NC,Alleghany County,37005,0.272,9585.0,0.21
NC,Alleghany County,37005,0.269,9423.0,0.21
NC,Anson County,37007,0.174,9060.0,0.159
NC,Anson County,37007,0.187,8855.0,0.159
NC,Ashe County,37009,0.224,8939.0,0.187
NC,Ashe County,37009,0.242,8718.0,0.187
NC,Avery County,37011,0.255,9726.0,0.164
NC,Avery County,37011,0.262,9772.0,0.164
NC,Beaufort County,37013,0.191,8044.0,
NC,Beaufort County,37013,0.201,7983.0,
NC,Bertie County,37015,0.173,8241.0,0.135
NC,Bertie County,37015,0.174,8913.0,0.135
NC,Bladen County,37017,0.217,10470.0,0.202
NC,Bladen County,37017,0.23,10619.0,0.202
NC,Brunswick County,37019,0.197,8959.0,0.183
NC,Brunswick County,37019,0.204,9095.0,0.183
NC,Buncombe County,37021,0.201,8237.0,0.154
NC,Buncombe County,37021,0.204,8057.0,0.154
NC,Burke County,37023,0.205,8645.0,0.203
NC,Burke County,37023,0.207,8931.0,0.203
NC,Cabarrus County,37025,0.177,9807.0,0.16
NC,Cabarrus County,37025,0.176,9667.0,0.16
NC,Caldwell County,37027,0.191,9101.0,0.173
NC,Caldwell County,37027,0.184,9043.0,0.173
NC,Camden County,37029,0.159,8796.0,
NC,Camden County,37029,0.155,9044.0,
NC,Carteret County,37031,0.19,8759.0,0.152
NC,Carteret County,37031,0.204,9161.0,0.152
NC,Caswell County,37033,0.183,9026.0,0.172
NC,Caswell County,37033,0.187,9069.0,0.172
NC,Catawba County,37035,0.195,8377.0,0.184
NC,Catawba County,37035,0.193,8692.0,0.184
NC,Chatham County,37037,0.192,8065.0,0.199
NC,Chatham County,37037,0.195,8134.0,0.199
NC,Cherokee County,37039,0.216,8467.0,0.181
NC,Cherokee County,37039,0.216,8026.0,0.181
NC,Chowan County,37041,0.191,8394.0,0.367
NC,Chowan County,37041,0.182,7628.0,0.367
NC,Clay County,37043,0.218,8019.0,0.252
NC,Clay County,37043,0.224,7521.0,0.252
NC,Cleveland County,37045,0.18,8843.0,0.185
NC,Cleveland County,37045,0.182,9085.0,0.185
NC,Columbus County,37047,0.213,10546.0,0.197
NC,Columbus County,37047,0.213,10605.0,0.197
NC,Craven County,37049,0.187,8635.0,0.139
NC,Craven County,37049,0.181,9180.0,0.139
NC,Cumberland County,37051,0.164,8886.0,0.148
NC,Cumberland County,37051,0.171,9008.0,0.148
NC,Currituck County,37053,0.177,9404.0,0.19
NC,Currituck County,37053,0.179,8799.0,0.19
NC,Dare County,37055,0.203,7384.0,0.175
NC,Dare County,37055,0.207,7531.0,0.175
NC,Davidson County,37057,0.188,9504.0,0.218
NC,Davidson County,37057,0.185,9506.0,0.218
NC,Davie County,37059,0.163,10030.0,0.144
NC,Davie County,37059,0.181,9955.0,0.144
NC,Duplin County,37061,0.266,9532.0,0.295
NC,Duplin County,37061,0.264,9581.0,0.295
NC,Durham County,37063,0.193,8397.0,0.155
NC,Durham County,37063,0.198,8108.0,0.155
NC,Edgecombe County,37065,0.184,8606.0,0.181
NC,Edgecombe County,37065,0.179,8935.0,0.181
NC,Forsyth County,37067,0.187,9325.0,0.129
NC,Forsyth County,37067,0.195,9157.0,0.129
NC,Franklin County,37069,0.209,8966.0,0.241
NC,Franklin County,37069,0.209,9284.0,0.241
NC,Gaston County,37071,0.192,9903.0,0.183
NC,Gaston County,37071,0.194,9728.0,0.183
NC,Gates County,37073,0.167,8583.0,0.213
NC,Gates County,37073,0.171,8276.0,0.213
NC,Graham County,37075,0.227,9833.0,0.221
NC,Graham County,37075,0.22,8515.0,0.221
NC,Granville County,37077,0.166,8342.0,0.204
NC,Granville County,37077,0.187,8198.0,0.204
NC,Greene County,37079,0.232,9649.0,
NC,Greene County,37079,0.234,10080.0,
NC,Guilford County,37081,0.188,8349.0,0.139
NC,Guilford County,37081,0.195,8628.0,0.139
NC,Halifax County,37083,0.185,9488.0,0.263
NC,Halifax County,37083,0.187,9773.0,0.263
NC,Harnett County,37085,0.211,10191.0,0.144
NC,Harnett County,37085,0.198,10150.0,0.144
NC,Haywood County,37087,0.185,8498.0,0.205
NC,Haywood County,37087,0.189,8561.0,0.205
NC,Henderson County,37089,0.209,8539.0,0.145
NC,Henderson County,37089,0.217,8465.0,0.145
NC,Hertford County,37091,0.176,8244.0,0.174
NC,Hertford County,37091,0.197,8319.0,0.174
NC,Hoke County,37093,0.226,10943.0,0.195
NC,Hoke County,37093,0.224,10811.0,0.195
NC,Hyde County,37095,0.236,8569.0,
NC,Hyde County,37095,0.246,8379.0,
NC,Iredell County,37097,0.176,10015.0,0.15
NC,Iredell County,37097,0.186,10151.0,0.15
NC,Jackson County,37099,0.262,8245.0,0.155
NC,Jackson County,37099,0.258,8216.0,0.155
NC,Johnston County,37101,0.187,10794.0,0.182
NC,Johnston County,37101,0.211,10690.0,0.182
NC,Jones County,37103,0.21,8066.0,
NC,Jones County,37103,0.212,8795.0,
NC,Lee County,37105,0.22,9007.0,0.203
NC,Lee County,37105,0.217,9477.0,0.203
NC,Lenoir County,37107,0.197,9027.0,0.182
NC,Lenoir County,37107,0.206,9353.0,0.182
NC,Lincoln County,37109,0.191,9636.0,0.171
NC,Lincoln County,37109,0.183,9569.0,0.171
NC,Macon County,37113,0.242,7449.0,0.178
NC,Macon County,37113,0.256,7359.0,0.178
NC,Madison County,37115,0.186,8296.0,0.18
NC,Madison County,37115,0.192,8968.0,0.18
NC,Martin County,37117,0.18,8809.0,0.167
NC,Martin County,37117,0.192,10047.0,0.167
NC,McDowell County,37111,0.172,8398.0,0.2
NC,McDowell County,37111,0.194,8489.0,0.2
NC,Mecklenburg County,37119,0.182,8324.0,0.164
NC,Mecklenburg County,37119,0.183,8514.0,0.164
NC,Mitchell County,37121,0.196,8601.0,0.172
NC,Mitchell County,37121,0.18,9123.0,0.172
NC,Montgomery County,37123,0.237,9332.0,
NC,Montgomery County,37123,0.236,9986.0,
NC,Moore County,37125,0.183,8452.0,0.177
NC,Moore County,37125,0.182,8895.0,0.177
NC,Nash County,37127,0.177,8725.0,0.206
NC,Nash County,37127,0.19,9511.0,0.206
NC,New Hanover County,37129,0.19,8982.0,0.143
NC,New Hanover County,37129,0.185,9130.0,0.143
NC,Northampton County,37131,0.173,9012.0,0.226
NC,Northampton County,37131,0.173,9909.0,0.226
NC,Onslow County,37133,0.152,9139.0,0.127
NC,Onslow County,37133,0.169,9651.0,0.127
NC,Orange County,37135,0.164,7147.0,0.135
NC,Orange County,37135,0.147,7147.0,0.135
NC,Pamlico County,37137,0.187,8082.0,
NC,Pamlico County,37137,0.193,9062.0,
NC,Pasquotank County,37139,0.176,8307.0,0.147
NC,Pasquotank County,37139,0.185,8382.0,0.147
NC,Pender County,37141,0.199,9748.0,0.171
NC,Pender County,37141,0.211,9620.0,0.171
NC,Perquimans County,37143,0.178,8591.0,0.205
NC,Perquimans County,37143,0.185,8269.0,0.205
NC,Person County,37145,0.172,8304.0,0.15
NC,Person County,37145,0.179,8770.0,0.15
NC,Pitt County,37147,0.169,8833.0,0.16
NC,Pitt County,37147,0.187,9143.0,0.16
NC,Polk County,37149,0.199,8199.0,0.153
NC,Polk County,37149,0.206,8148.0,0.153
NC,Randolph County,37151,0.217,9145.0,0.179
NC,Randolph County,37151,0.216,9432.0,0.179
NC,Richmond County,37153,0.219,9669.0,0.182
NC,Richmond County,37153,0.214,10568.0,0.182
NC,Robeson County,37155,0.264,10712.0,0.252
NC,Robeson County,37155,0.263,10613.0,0.252
NC,Rockingham County,37157,0.18,8623.0,0.183
NC,Rockingham County,37157,0.188,9311.0,0.183
NC,Rowan County,37159,0.194,9239.0,0.205
NC,Rowan County,37159,0.207,8827.0,0.205
NC,Rutherford County,37161,0.193,8656.0,0.232
NC,Rutherford County,37161,0.194,8757.0,0.232
NC,Sampson County,37163,0.234,9716.0,0.163
NC,Sampson County,37163,0.232,9899.0,0.163
NC,Scotland County,37165,0.2,9615.0,0.2
NC,Scotland County,37165,0.202,9441.0,0.2
NC,Stanly County,37167,0.183,9575.0,0.183
NC,Stanly County,37167,0.178,9344.0,0.183
NC,Stokes County,37169,0.17,10323.0,0.165
NC,Stokes County,37169,0.178,10006.0,0.165
NC,Surry County,37171,0.211,10454.0,0.184
NC,Surry County,37171,0.22,10501.0,0.184
NC,Swain County,37173,0.232,8727.0,0.229
NC,Swain County,37173,0.242,8444.0,0.229
NC,Transylvania County,37175,0.209,7499.0,0.163
NC,Transylvania County,37175,0.209,7387.0,0.163
NC,Tyrrell County,37177,0.248,7338.0,
NC,Tyrrell County,37177,0.246,8344.0,
NC,Union County,37179,0.172,9304.0,0.149
NC,Union County,37179,0.166,9099.0,0.149
NC,Vance County,37181,0.189,8242.0,0.172
NC,Vance County,37181,0.199,8415.0,0.172
NC,Wake County,37183,0.154,8748.0,0.133
NC,Wake County,37183,0.151,8816.0,0.133
NC,Warren County,37185,0.211,7710.0,
NC,Warren County,37185,0.218,7925.0,
NC,Washington County,37187,0.157,8741.0,
NC,Washington County,37187,0.173,8894.0,
NC,Watauga County,37189,0.199,9357.0,0.168
NC,Watauga County,37189,0.206,9055.0,0.168
NC,Wayne County,37191,0.2,9037.0,0.169
NC,Wayne County,37191,0.201,9059.0,0.169
NC,Wilkes County,37193,0.205,9842.0,0.181
NC,Wilkes County,37193,0.216,10085.0,0.181
NC,Wilson County,37195,0.199,9251.0,0.107
NC,Wilson County,37195,0.209,9450.0,0.107
NC,Yadkin County,37197,0.209,10084.0,0.158
NC,Yadkin County,37197,0.201,10998.0,0.158
NC,Yancey County,37199,0.228,7707.0,0.158
NC,Yancey County,37199,0.206,7870.0,0.158
